Id,Recipe Page,Title,PDF,Vimeo Link,Thumbnail,,
2700,https://savourschool.com.au/onlineclasses/chocolate-honeycomb/,Chocolate Honeycomb,https://savourschool.com.au/online-clasess-pdf/?id=2700,https://player.vimeo.com/video/81074470?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2016/08/1Y1A3146-Edit.jpg,,
2701,https://savourschool.com.au/onlineclasses/explore-cocoa-plantations-of-ghana-part-3/,Explore: Cocoa Plantations of Ghana Part 3,https://savourschool.com.au/online-clasess-pdf/?id=2701,https://player.vimeo.com/video/302973361?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Cocoa-Plantations-of-Ghana-3.png,,
2702,https://savourschool.com.au/onlineclasses/explore-cocoa-plantations-of-ghana-part-2/,Explore: Cocoa Plantations of Ghana Part 2,https://savourschool.com.au/online-clasess-pdf/?id=2702,https://player.vimeo.com/video/301512822?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Cocoa-Plantations-of-Ghana-2.png,,
2703,https://savourschool.com.au/onlineclasses/explore-cocoa-plantations-of-ghana-part-1/,Explore: Cocoa Plantations of Ghana Part 1,https://savourschool.com.au/online-clasess-pdf/?id=2703,https://player.vimeo.com/video/300436742?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Cocoa-Plantations-of-Ghana-part-1.png,,
2704,https://savourschool.com.au/onlineclasses/kitchenaid-adjustment/,Kitchenaid Adjustment,https://savourschool.com.au/online-clasess-pdf/?id=2704,https://player.vimeo.com/video/245832527?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Kitchenaid-Adjustment-.png,,
2705,https://savourschool.com.au/onlineclasses/assembling-sugar-showpiece/,Assembling Sugar Showpiece,https://savourschool.com.au/online-clasess-pdf/?id=2705,https://player.vimeo.com/video/177156450?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Assembling-Sugar-Showpiece-.png,,
2706,https://savourschool.com.au/onlineclasses/giraffe-easter-egg/,Giraffe Easter Egg,https://savourschool.com.au/online-clasess-pdf/?id=2706,https://player.vimeo.com/video/123703724?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Giraffe-Easter-Egg-website-700x800-image.jpg,,
2707,https://savourschool.com.au/onlineclasses/caramel-almond-fig-tart/,"Caramel, Almond & Fig Tart",https://savourschool.com.au/online-clasess-pdf/?id=2707,https://player.vimeo.com/video/171850389?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Caramel-Almond-and-Fig-Tart.png,,
2708,https://savourschool.com.au/onlineclasses/jordi-bordas-tropical-entremet/,Jordi Bordas' 'Tropical Entremet',https://savourschool.com.au/online-clasess-pdf/?id=2708,https://player.vimeo.com/video/172032600?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Jordi-Tropical-Tart.png,,
2709,https://savourschool.com.au/onlineclasses/fruits-of-the-forest/,Fruits of the forest,https://savourschool.com.au/online-clasess-pdf/?id=2709,https://player.vimeo.com/video/194771589?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Fruits-of-the-Forest.png,,
